36.1204538,-81.848086,Even 75
36.1227614,-81.8642026,Even 76
36.1584929,-81.8716121,Even 77
36.156375,-81.8618484,Even 78
36.161136,-81.8504189,Even 79
36.1455587,-81.8713656,Even 80
36.1458306,-81.8562168,Even 81
36.1362917,-81.8671372,Even 82
36.1371181,-81.8570209,Even 83
36.1750608,-81.8612259,Even 84
36.1803447,-81.8531713,Even 85
36.1854782,-81.8757956,Even 86
36.1799379,-81.8775078,Even 87
36.1799053,-81.8650557,Even 88
36.1640153,-81.8705072,Even 89
36.1629678,-81.8606327,Even 90
36.1003544,-81.8421191,Even 91
36.1254756,-81.8183531,Even 92
36.1270032,-81.841298,Even 93
36.1453202,-81.8285534,Even 94
36.1533426,-81.8308602,Even 95
36.173541,-81.8414852,Even 96
36.0724805,-81.7729733,Even 97
36.2051073,-81.9539851,Even 98
36.1967651,-81.9478867,Even 99
36.2064174,-81.9306457,Even 100
36.2113413,-81.9234433,Even 101
36.1971223,-81.9151424,Even 102
36.2133198,-81.9181427,Even 103
36.218294,-81.9163518,Even 104
36.2835733,-81.9192969,Even 105
36.1954888,-81.9056396,Even 106
36.2543605,-81.914693,Even 107
36.066732,-81.8999016,Even 108
35.9263851,-82.005648,Even 109
35.9579996,-81.9499848,Even 110
36.0713451,-81.9478947,Even 111
36.0281432,-81.9093095,Even 112
36.0819804,-81.9339254,Even 113
36.044795,-81.9008004,Even 114
36.0500114,-81.8920331,Even 115
36.0582634,-81.902795,Even 116
36.1521733,-81.9037229,Even 117
36.0697888,-81.8714571,Even 118
36.127733,-81.8560093,Even 119
36.1678186,-81.8757398,Even 120
35.9522985,-82.0095462,Even 121
35.9984607,-81.9455343,Even 122
36.0843067,-81.9111435,Even 123
36.0824505,-81.8799547,Even 124
36.1089879,-81.8547496,Even 125
36.1622232,-81.8667281,Even 126
36.2299869,-81.9126835,Even 127
35.9291987,-82.0102437,Even 128
35.9724017,-82.0185476,Even 129
36.0589405,-82.0306814,Even 130
36.1067942,-82.0212908,Even 131
35.9798924,-81.9979989,Even 132
36.0207276,-82.0038783,Even 133
36.055441,-81.9873248,Even 134
36.1011845,-81.9960043,Even 135
36.1223442,-81.9840877,Even 136
36.1634265,-81.9890203,Even 137
35.9827698,-81.9735254,Even 138
36.0230842,-81.9743532,Even 139
36.0720045,-81.957913,Even 140
36.1318761,-81.9473859,Even 141
36.1576957,-81.9772403,Even 142
36.0027335,-81.9348115,Even 143
36.0190468,-81.9290062,Even 144
